input,target,embedding,cluster_label
"Is the following sentence plausible? ""Evander Kane hit the slant pass in the AFC divisional round.""",no,"[-0.03854518011212349, 0.04535192623734474, 0.07190614938735962, 0.1028926745057106, 0.0017066332511603832, 0.05354376509785652, -0.06620747596025467, 0.04768679663538933, -0.019005464389920235, -0.02979930117726326, 0.06177517771720886, -0.07804013788700104, 0.026000186800956726, 0.2049938589334488, 0.06213134527206421, 0.1506981998682022, 0.02570338174700737, 0.0015186562668532133, -0.22114010155200958, 0.15782153606414795, -0.026039760559797287, 0.10186374932527542, 0.13858851790428162, 0.0657721608877182, -0.0914953351020813, 0.12117590755224228, -0.04638085141777992, -0.017917176708579063, -0.021211721003055573, 0.09505700320005417, -0.0012169037945568562, -0.06921511143445969, 0.0830264762043953, -0.1366889625787735, 0.050140392035245895, -0.058846693485975266, -0.11088664084672928, 0.11848486959934235, -0.09743144363164902, -0.04424384981393814, 0.1760256141424179, 0.00844907108694315, -0.028572503477334976, 0.06945255398750305, 0.07526994496583939, -0.039890699088573456, -0.10328841209411621, -0.04258173704147339, -0.024318287149071693, 0.06252708286046982, -0.005159473977982998, 0.05500800535082817, 0.11033260822296143, 0.06794873625040054, 0.09822292625904083, 0.001641088631004095, 0.1289324313402176, 0.03549797087907791, -0.04970507696270943, -0.2238311469554901, -0.012594458647072315, -0.076971635222435, -0.06624705344438553, 0.1525186002254486, -0.18093280494213104, -0.15243946015834808, 0.07352868467569351, 0.14017148315906525, 0.11365683376789093, 0.09165363013744354, 0.06296239793300629, 0.19945348799228668, -0.18932251632213593, 0.05279185622930527, 0.12687458097934723, 0.017917176708579063, -0.06046923249959946, 0.03450861945748329, -0.0006968752713873982, -0.037813056260347366, 0.066682368516922, -0.009156459011137486, -0.06280410289764404, -0.08864599466323853, -0.020815979689359665, -0.12299632281064987, -0.2869914174079895, -0.08092904835939407, -0.03498350828886032, 0.19233015179634094, 0.02150852605700493, 0.08611325174570084, 0.02150852605700493, -0.0881711095571518, -0.05132761597633362, 0.27765193581581116, 0.017343351617455482, -0.051169317215681076, 0.05698671191930771, 0.0973522961139679]",1
"Is the following sentence plausible? ""Jayson Tatum nutmegged the defender.""",no,"[-0.1545620560646057, 0.06662682443857193, -0.101595439016819, -0.013898028060793877, -0.08150465786457062, 0.03793657571077347, 0.05768490210175514, 0.040067415684461594, 0.05779905244708061, -0.10502000898122787, 0.12632840871810913, 0.05483109876513481, -0.005284294486045837, -0.04900933429598808, 0.10113883018493652, -0.09375698864459991, 0.027168218046426773, -0.18294788897037506, 0.00859470758587122, 0.08645124733448029, 0.004328269977122545, 0.15212680399417877, 0.05357542261481285, 0.09132174402475357, 0.08569023758172989, 0.07518823444843292, -0.07290519028902054, 0.029489312320947647, 0.11544590443372726, 0.08964750915765762, 0.11651132255792618, -0.06811080127954483, 0.051406532526016235, -0.017531871795654297, 0.10075832158327103, -0.14482106268405914, -0.06906206905841827, 0.03711848333477974, 0.047068748623132706, 0.034911543130874634, -0.018854135647416115, -0.06563750654459, -0.02191721834242344, 0.11224964261054993, 0.14839783310890198, -0.03443590924143791, 0.0015493780374526978, -0.1286875605583191, -0.01730356737971306, 0.11719623953104019, -0.09748595952987671, -0.035653531551361084, -0.03152502700686455, 0.3966407775878906, 0.05133042857050896, 0.013859977014362812, 0.08226566761732101, 0.025836443528532982, 0.07461747527122498, -0.24093720316886902, -0.048552725464105606, -0.14291852712631226, -0.05825566127896309, 0.11415217816829681, -0.14360344409942627, -0.1275460422039032, -0.08104804903268814, -0.04756340757012367, 0.014620991423726082, 0.11027100682258606, 0.020718621090054512, -0.035615481436252594, -0.04060012474656105, 0.016818420961499214, 0.13043789565563202, 0.11788114905357361, -0.05270025506615639, 0.13508008420467377, 0.042807068675756454, 0.06624631583690643, 0.24459007382392883, 0.06799665093421936, 0.0519011914730072, -0.03232409060001373, -0.0834071934223175, -0.02617890015244484, -0.14702801406383514, -0.07644391059875488, -0.08439651131629944, -0.05795125663280487, -0.03255239501595497, -0.13355804979801178, 0.11993589252233505, 0.09573563188314438, -0.06274564564228058, -0.007719540968537331, -0.10821626335382462, -0.035025693476200104, 0.25372225046157837, 0.06065285950899124]",1
"Is the following sentence plausible? ""Norman Powell committed a blocking foul.""",yes,"[-0.0827828198671341, 0.08254480361938477, -0.13786029815673828, 0.005846328567713499, -0.003100190544500947, 0.0683589056134224, 0.024872928857803345, -0.053839776664972305, 0.07402374595403671, -0.023349611088633537, 0.22602233290672302, 0.0703582614660263, -0.12091337889432907, 0.09734955430030823, 0.0955406129360199, -0.0012533159460872412, -0.09687351435422897, 0.005313762463629246, 0.01482855062931776, 0.1623286008834839, 0.02722931280732155, 0.12681624293327332, 0.012674483470618725, -0.01820841245353222, -0.03348919749259949, -0.027943367138504982, 0.19974510371685028, -0.08978056907653809, 0.05441102012991905, 0.07906973361968994, 0.00012495969713199884, -0.06902535259723663, 0.07611830532550812, -0.010936948470771313, 0.04884139075875282, -0.14271587133407593, -0.050412312150001526, 0.13195744156837463, 0.05345894768834114, 0.07192917913198471, -0.06626433879137039, -0.1836550533771515, 0.06021867319941521, 0.05998065322637558, 0.3018074035644531, 0.014078792184591293, -0.013983584940433502, -0.15499763190746307, -0.04586615785956383, 0.029942722991108894, -0.12557853758335114, 0.04448565095663071, 0.017422951757907867, 0.010788187384605408, 0.07521383464336395, 0.10434729605913162, 0.07340489327907562, -0.03989189490675926, 0.08935213088989258, -0.11834277957677841, -0.038201965391635895, -0.06464581191539764, -0.14252546429634094, 0.0004953759489580989, -0.08273521810770035, -0.04389060661196709, -0.020398182794451714, -0.030394958332180977, 0.0795457735657692, 0.20736168324947357, -0.0859246701002121, 0.12243670225143433, 0.07111991941928864, -0.04422383010387421, -0.0016423274064436555, 0.1536647230386734, 0.11567697674036026, 0.11186867952346802, 0.06788286566734314, 0.05369696766138077, 0.11367762088775635, 0.0512215755879879, -0.012341257184743881, -0.023992260918021202, -0.019565118476748466, -0.03210869058966637, -0.3257996737957001, 0.019053379073739052, 0.021933401003479958, 0.12738747894763947, -0.1653752326965332, -0.045509129762649536, 0.029704704880714417, 0.18803459405899048, -0.032941754907369614, -0.06221802532672882, 0.0838301032781601, 0.1269114464521408, 0.23630473017692566, 0.014423918910324574]",1
"Is the following sentence plausible? ""Zach LaVine  shot the puck.""",no,"[-0.12750467658042908, -0.017239760607481003, -0.16518373787403107, -0.10405462980270386, 0.03054468333721161, -0.14324402809143066, -0.022953227162361145, 0.14531081914901733, -0.013742126524448395, -0.20063704252243042, 0.07750440388917923, 0.3041352331638336, -0.09872868657112122, 0.033346764743328094, -0.001723976107314229, -0.000908565241843462, -0.14562878012657166, -0.10000055283308029, -0.16915832459926605, 0.09745682030916214, -0.05238502472639084, 0.026788700371980667, -0.009548939764499664, 0.041534408926963806, -0.05143112689256668, -0.09038205444812775, 0.050596464425325394, 0.03493659943342209, -0.08354576677083969, 0.12575586140155792, 0.024841153994202614, -0.1156604140996933, 0.10683684051036835, 0.00402923533692956, 0.012351022101938725, -0.014537043869495392, -0.14451590180397034, 0.07102582603693008, 0.06876031309366226, -0.12066838890314102, -0.03700338304042816, 0.09753631055355072, 0.10103394091129303, -0.059102073311805725, 0.04682060703635216, 0.17933325469493866, -0.07193998247385025, -0.12527890503406525, -0.019574830308556557, 0.10063648223876953, -0.14713913202285767, 0.1960265189409256, -0.07897499948740005, 0.1560421884059906, 0.034717995673418045, 0.18012817203998566, 0.15389591455459595, -0.05699554458260536, -0.02297309972345829, -0.08290983736515045, -0.06800514459609985, -0.0286170095205307, 0.007765344809740782, 0.10119292885065079, -0.05934055149555206, -0.013106193393468857, -0.015123294666409492, 0.05731351301074028, 0.18760040402412415, 0.06005597487092018, -0.0014581757131963968, 0.04988103732466698, -0.12162229418754578, -0.02571556344628334, -0.1682044267654419, 0.03414168208837509, -0.1293329894542694, 0.040004193782806396, -0.012937272898852825, -0.007710694335401058, 0.1775844395160675, 0.13728216290473938, 0.07281439006328583, -0.04014330729842186, -0.03404231742024422, -0.11176532506942749, -0.10842666774988174, 0.029650401324033737, 0.02559632621705532, -0.02140313945710659, -0.14300556480884552, 0.0380169041454792, 0.1823539435863495, -0.026729082688689232, 0.03034595400094986, 0.07837881147861481, 0.05115290358662605, 0.040004193782806396, 0.19316481053829193, 0.06005597487092018]",1
"Is the following sentence plausible? ""Bastian Schweinsteiger scored in added time.""",yes,"[-0.18874110281467438, 0.11668037623167038, -0.012660824693739414, -0.12843021750450134, 0.0010678503895178437, -0.09199083596467972, 0.07972043752670288, 0.13036373257637024, -0.008798436261713505, -0.08336437493562698, -0.06443820893764496, 0.07867930829524994, -0.1771399974822998, 0.05681568384170532, 0.0729903057217598, 0.11742404103279114, -0.21149712800979614, 0.06666918843984604, -0.07986916601657867, 0.1477653980255127, -0.03645797073841095, -0.11370573192834854, 0.06339707970619202, 0.05462188273668289, 0.07220946252346039, -0.0012584134237840772, -0.06968101859092712, -0.14531131088733673, -0.15839974582195282, 0.13601556420326233, -0.06521905213594437, -0.03407825529575348, -0.017355183139443398, 0.00031925123766995966, 0.04287204518914223, 0.10857447236776352, -0.11288771033287048, 0.0757790356874466, -0.13363584876060486, -0.16762113571166992, -0.028612349182367325, -0.09392435848712921, 0.095932237803936, 0.06692946702241898, -0.012391247786581516, 0.0563323050737381, -0.08068719506263733, 0.0443221814930439, -0.09437055140733719, 0.08098465949296951, 0.13214851915836334, -0.05964159592986107, 0.05097794532775879, 0.08232324570417404, 0.14813722670078278, -0.035546984523534775, 0.10812827944755554, 0.16479523479938507, -0.021956585347652435, -0.06328552961349487, -0.042723312973976135, -0.08269508183002472, 0.06945791840553284, -0.0747750923037529, -0.1659850925207138, -0.1607794612646103, 0.026716014370322227, 0.14627806842327118, 0.026474323123693466, 0.00877984520047903, 0.08061283081769943, 0.18219688534736633, -0.12017558515071869, 0.07332495599985123, -0.08946239203214645, 0.035230930894613266, 0.05480780079960823, 0.1588459461927414, 0.1108798235654831, 0.10269955545663834, -0.024373482912778854, 0.140403151512146, -0.09622970223426819, -0.02807319536805153, -0.05930694565176964, -0.1479141265153885, -0.16494396328926086, 0.02435488998889923, -0.08165395259857178, 0.10493053495883942, -0.048672597855329514, 0.05201907083392143, 0.03588163107633591, 0.09013168513774872, 0.00856604240834713, 0.033223044127225876, -0.29627445340156555, 0.06057117134332657, 0.05257681757211685, 0.012326177209615707]",3
"Is the following sentence plausible? ""Gerrit Cole committed a handball in the European Cup.""",no,"[-0.07315089553594589, 0.15666893124580383, 0.06702891737222672, 0.09875594079494476, -0.11591534316539764, 0.03798305615782738, 0.020097505301237106, -0.0017958164680749178, 0.06649269163608551, -0.10903371125459671, -0.031838737428188324, -0.14210130274295807, -0.1507703810930252, 0.07105065137147903, 0.04332302510738373, 0.12467379122972488, -0.11341293156147003, 0.10215207189321518, -0.023795265704393387, 0.08275837451219559, 0.06792263686656952, 0.11269795894622803, 0.22485968470573425, 0.02774997241795063, -0.04897579550743103, -0.044663604348897934, 0.11770278215408325, -0.13307474553585052, -0.08758445829153061, 0.1716834008693695, 0.11528974026441574, -0.11537910997867584, 0.0006175737362354994, -0.04097701236605644, -0.04647338390350342, 0.12512065470218658, -0.025113502517342567, 0.07203374803066254, 0.02848729118704796, 0.12342258542776108, -0.035391271114349365, -0.0020108676981180906, -0.023348407819867134, -0.05487434193491936, 0.024353841319680214, 0.037491507828235626, 0.019281985238194466, -0.15738390386104584, 0.02976083941757679, 0.0009663336095400155, -0.03094501793384552, 0.06787795573472977, 0.042608048766851425, 0.09795159101486206, 0.021829085424542427, -0.11797089874744415, 0.08123905211687088, 0.03094501793384552, -0.03624030202627182, -0.039368320256471634, -0.12047331035137177, -0.07842383533716202, 0.02282334677875042, -0.1720408946275711, -0.20430414378643036, -0.03615093231201172, 0.04354645311832428, 0.11600472033023834, 0.15809887647628784, 0.1709684282541275, -0.012366835959255695, 0.08298180252313614, -0.051880382001399994, -0.04354645311832428, -0.045803096145391464, 0.03364851698279381, 0.02871072106063366, 0.3476566672325134, 0.0750277042388916, 0.06130911782383919, -0.07610016316175461, 0.10143709927797318, -0.07726199924945831, -0.020868336781859398, 0.0011876686476171017, -0.18410609662532806, -0.22932827472686768, -0.06743109226226807, 0.044976405799388885, -0.0010815395507961512, -0.11341293156147003, -0.005423756781965494, 0.018779268488287926, 0.08566296100616455, 0.08593107759952545, -0.08695884793996811, 0.1270868331193924, -0.19679690897464752, 0.14567618072032928, 0.07927286624908447]",3
"Is the following sentence plausible? ""Ryan Tannehill hit a triple.""",no,"[-0.10208477824926376, -0.001274311332963407, 0.11422133445739746, -0.052204400300979614, 0.054184120148420334, 0.006880608852952719, 0.0686446949839592, 0.016806114464998245, -0.042284272611141205, -0.15872202813625336, -0.04441462457180023, 0.06877380609512329, 0.013836532831192017, 0.027845215052366257, -0.05186009779572487, 0.05155883729457855, -0.09735065698623657, -0.09769495576620102, -0.0760471299290657, 0.09605953842401505, 0.05767015367746353, 0.12721863389015198, 0.18420018255710602, -0.10122402757406235, 0.011781495995819569, 0.025628788396716118, -0.1795521378517151, -0.04523233696818352, -0.10845431685447693, 0.025736382231116295, 0.11938582360744476, -0.05616384372115135, 0.06249034404754639, -0.041574154049158096, -0.03886279836297035, -0.032686926424503326, 0.09123934805393219, 0.10440880060195923, 0.04211212322115898, 0.09261654317378998, 0.1267021894454956, -0.04155263677239418, 0.06490044295787811, 0.03158947080373764, 0.10544169694185257, -0.055948656052351, -0.03763623163104057, -0.03856153413653374, 0.06274856626987457, 0.2298198640346527, -0.04596397280693054, -0.022723762318491936, -0.14271210134029388, 0.27578383684158325, 0.06726749986410141, -0.055776506662368774, -0.0715712383389473, 0.06804217398166656, 0.028835076838731766, -0.038195718079805374, -0.1979721635580063, -0.11938582360744476, -0.01579473540186882, 0.018086478114128113, -0.16707129776477814, -0.012868191115558147, -0.006649282295256853, 0.07901671528816223, 0.11602890491485596, 0.0859457403421402, -0.04273616522550583, 0.07475601136684418, -0.2024480551481247, 0.10285945236682892, -0.006127453874796629, 0.0033380903769284487, -0.06576118618249893, -0.049191780388355255, 0.01621435023844242, -0.014923227950930595, 0.1921190768480301, -0.003989031538367271, 0.04738420620560646, -0.0766066163778305, 0.008844191208481789, -0.1469297707080841, -0.24169819056987762, -0.06911810487508774, 0.05607776716351509, 0.19625066220760345, -0.05164491385221481, 0.08680649101734161, 0.10690496861934662, -0.008655902929604053, 0.05487271770834923, -0.13574004173278809, -0.040777962654829025, 0.2069239467382431, 0.16362829506397247, 0.21983517706394196]",4
"Is the following sentence plausible? ""Tom Brady was safe at first.""",no,"[0.05292637273669243, -0.015487574972212315, 0.032003458589315414, 0.15621884167194366, -0.053262148052453995, 0.044322166591882706, -0.01869841292500496, 0.11055358499288559, 0.010136176832020283, -0.0797463208436966, 0.04174090176820755, 0.17477035522460938, 0.02404981106519699, 0.06858183443546295, 0.02006249502301216, -0.014469759538769722, -0.06585367023944855, -0.05964185297489166, -0.13884253799915314, -0.03781654313206673, -0.04457399621605873, 0.14916759729385376, -0.172419935464859, -0.08415335416793823, 0.05943199619650841, -0.1073637306690216, -0.10173951834440231, -0.19911396503448486, 0.03240218758583069, 0.015036378055810928, 0.11886399239301682, -0.13204312324523926, 0.13279861211776733, -0.05653594434261322, 0.06514015048742294, 0.11449892818927765, 0.09300938993692398, -0.07647252082824707, 0.07831928133964539, 0.03819429129362106, 0.12163412570953369, -0.011972441338002682, 0.025099104270339012, -0.07286295294761658, 0.07882294058799744, -0.08037589490413666, 0.03894978016614914, 0.03764865919947624, -0.005414355546236038, 0.14816026389598846, -0.07072239369153976, -0.08310405910015106, -0.06514015048742294, 0.30521854758262634, -0.1935736984014511, -0.21136972308158875, 0.05036609619855881, 0.13817098736763, 0.02652614377439022, 0.08268434554338455, 0.05389172211289406, 0.03733386844396591, -0.03309472277760506, -0.0677843689918518, -0.08839250355958939, -0.13405776023864746, -0.08058575540781021, 0.05897030606865883, 0.1528611034154892, 0.008646179921925068, 0.001754943747073412, 0.11214850842952728, -0.0002857685904018581, -0.048267509788274765, 0.10543303191661835, 0.13061608374118805, 0.04495174065232277, 0.17913541197776794, 0.08071167021989822, 0.0908268615603447, 0.12297721952199936, -0.025455864146351814, -0.00135752372443676, -0.1766171157360077, -0.11617779731750488, 0.08872827142477036, -0.23235559463500977, 0.07244323939085007, -0.18635456264019012, 0.024889245629310608, -0.02795318327844143, 0.103334441781044, 0.08646179735660553, -0.1538684219121933, -0.048267509788274765, -0.009212798438966274, -0.04356667399406433, 0.09577953070402145, 0.045203570276498795, -0.01980017125606537]",4
"Is the following sentence plausible? ""Mookie Betts skated behind the net.""",no,"[0.029461361467838287, 0.08504552394151688, -0.09652549773454666, -0.019426146522164345, 0.004922429099678993, 0.021105190739035606, 0.11433117091655731, 0.2555270493030548, 0.044084660708904266, -0.16275011003017426, 0.059742722660303116, 0.03324897214770317, 0.023916611447930336, 0.1215159147977829, -0.11604925990104675, -0.1554872691631317, -0.027313746511936188, -0.12198448181152344, 0.020285191014409065, -0.008829622529447079, 0.052245594561100006, 0.005207964219152927, 0.019445670768618584, 0.09496359527111053, -0.07903219759464264, 0.08731027692556381, -0.0987902507185936, -0.15540917217731476, -0.055486541241407394, 0.08762265741825104, -0.15993867814540863, -0.0472475104033947, -0.04873131588101387, -0.2480299174785614, 0.11909496784210205, -0.11956353485584259, -0.028075173497200012, 0.007990100421011448, 0.025166133418679237, -0.06489699333906174, 0.13166826963424683, -0.09566644579172134, 0.021593283861875534, 0.09910263121128082, 0.09996167570352554, -0.010777118615806103, -0.08192171901464462, -0.22413282096385956, 0.09605692327022552, 0.08293695747852325, 0.053690355271101, 0.17571388185024261, -0.11089498549699783, 0.2664603590965271, -0.06329604983329773, -0.06028938665986061, 0.20054811239242554, 0.001494788215495646, 0.16306248307228088, 0.05287035554647446, -0.021632332354784012, -0.015726393088698387, -0.1277635246515274, 0.016399962827563286, -0.043264664709568024, -0.026142321527004242, -0.09332359582185745, -0.018147340044379234, -0.11479973793029785, 0.06876269727945328, 0.09558835625648499, 3.908566213794984e-05, -0.12120353430509567, 0.010572118684649467, -0.04373323544859886, 0.061695098876953125, -0.027567556127905846, 0.09707216173410416, 0.09808739274740219, 0.044982753694057465, 0.10191405564546585, 0.065131276845932, 0.039184197783470154, -0.12846636772155762, -0.07684554159641266, -0.037661343812942505, -0.186490997672081, -0.003626539371907711, -0.14213301241397858, 0.057634156197309494, -0.17118437588214874, -0.03330754488706589, -0.15220727026462555, -0.01953352615237236, 0.031238023191690445, -0.02616184577345848, -0.1565805971622467, -0.09441693127155304, 0.06458461284637451, -0.022920900955796242]",2
"Is the following sentence plausible? ""Kwadwo Asamoah was flagged on the play.""",no,"[0.02294185385107994, 0.006131173577159643, -0.18532250821590424, 0.07214021682739258, -0.030316023156046867, 0.09876915067434311, -0.0539654977619648, -0.08387184888124466, 0.0686393454670906, 0.03297891467809677, -0.026908263564109802, -0.09541726112365723, -0.06714961677789688, 0.0539654977619648, 0.07277335226535797, -0.00443893251940608, -0.10726062208414078, -0.06990561634302139, 0.058471933007240295, 0.05888161063194275, 0.06368599086999893, 0.11433684080839157, 0.013770699501037598, 0.2218209207057953, 0.1821940839290619, -0.03921716287732124, 0.010307075455784798, -0.10413218289613724, -0.09981196373701096, 0.13556550443172455, 0.19262219965457916, -0.06625577807426453, -0.06361150741577148, -0.04625614359974861, 0.05266198515892029, -0.04744792729616165, -0.11947641521692276, 0.018761297687888145, -0.0513957142829895, -0.06271766871213913, 0.029180102050304413, -0.1375766396522522, -0.03258786350488663, -0.01744847185909748, 0.011387130245566368, 0.004231766797602177, -0.04957079142332077, -0.03472935035824776, -0.019198905676603317, 0.1838327795267105, -0.03126572445034981, 0.1077820286154747, -0.01410588901489973, 0.18934479355812073, 0.06912350654602051, -0.08774514496326447, 0.10882483422756195, 0.09690698981285095, 0.13221360743045807, 0.04335116595029831, -0.11537965387105942, -0.027615884318947792, -0.241634339094162, 0.11038905382156372, -0.11917846649885178, -0.1256587952375412, -0.08484017103910446, 0.07284783571958542, 0.11195327341556549, 0.03977581113576889, 0.2037951797246933, 0.11523067951202393, 0.12476495653390884, -0.021098311990499496, -0.08126481622457504, 0.07146983593702316, -0.044729169458150864, 0.29407286643981934, 0.04551127552986145, 0.07731702923774719, 0.18293894827365875, 0.1303514540195465, -0.0829780101776123, 0.0036032863426953554, 0.051917120814323425, -0.07143259048461914, -0.2529563009738922, -0.09534277021884918, -0.042829759418964386, 0.10115272551774979, -0.06212177500128746, 0.1432376205921173, -0.028006939217448235, -0.0568704754114151, 0.01841679774224758, 0.049868740141391754, 0.03288580849766731, 0.06554815918207169, 0.06387221068143845, 0.032196808606386185]",0
"Is the following sentence plausible? ""Drew Brees was flagged on the play.""",yes,"[0.07553177326917648, 0.09043490141630173, -0.1352289766073227, 0.04339689761400223, -0.17147067189216614, 0.09043490141630173, -0.061602428555488586, -0.021021034568548203, 0.02417524717748165, 0.01969795860350132, -0.08040069043636322, -0.01398226898163557, -0.08192487806081772, 0.047419048845767975, 0.09983403980731964, 0.035204410552978516, -0.08891072124242783, -0.12015648931264877, 0.026906076818704605, 0.007012303918600082, 0.21812763810157776, 0.12041051685810089, 0.14335794746875763, 0.14462810754776, 0.15318046510219574, -0.024005893617868423, 0.037617702037096024, -0.06261854618787766, 0.041364654898643494, 0.05525166168808937, 0.15597480535507202, -0.12396694719791412, 0.13844668865203857, -0.058681074529886246, 0.07646322250366211, 0.03171148896217346, -0.007546826731413603, -0.04242311418056488, 0.0424654521048069, 0.0012880146969109774, 0.030864721164107323, -0.0607556588947773, 0.08984216302633286, -0.1729101836681366, -0.12176534533500671, -0.03569130226969719, 0.06994310021400452, 0.10347514599561691, -0.07019712775945663, 0.1733335703611374, -0.05427787825465202, 0.027054261416196823, -0.04597954452037811, 0.12244275957345963, 0.007689718622714281, -0.18239399790763855, 0.09932597726583481, 0.011791255325078964, 0.060289934277534485, 0.06393104046583176, -0.0910276398062706, 0.06482014805078506, -0.10610012710094452, 0.03497155010700226, -0.21677280962467194, -0.03384958207607269, -0.02953105978667736, 0.035204410552978516, 0.14530551433563232, 0.19086167216300964, 0.020184850320219994, 0.16850697994232178, 0.015421776100993156, -0.03044133633375168, 0.11837827414274216, 0.17545048892498016, 0.09153570234775543, 0.2938287556171417, -0.06130605936050415, -0.053346432745456696, 0.23286141455173492, 0.06194113567471504, 0.1271846741437912, -0.031351614743471146, -0.11143476516008377, -0.10381384938955307, -0.09449939429759979, 0.04542914405465126, -0.015305344946682453, 0.0770982950925827, -0.06659836322069168, -0.0332145057618618, 0.045132774859666824, -0.09356794506311417, 0.09399133175611496, -0.015686390921473503, 0.02267223410308361, 0.1702851951122284, 0.04032736271619797, 0.024662140756845474]",0
